Experiment ID,Library ID,Gene ID,Gene name,Expression level,Expression level unit,Read count,UMI count,Expression p-value,Anat. entity ID,Anat. entity name,Stage ID,Stage name,Sex,Strain,Species
GSE30611,ERX011182,ENSG00000023330,ALAS1,30.808488,TPM,3760.99945,0,5.92E-11,UBERON:0000082,adult mammalian kidney,HsapDv:0000154,60-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011183,ENSG00000023330,ALAS1,49.806236,TPM,6203.0012,0,<= 7.47e-17,UBERON:0000948,heart,HsapDv:0000171,77-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011184,ENSG00000023330,ALAS1,23.383742,TPM,2789.998,0,6.08E-11,UBERON:0000992,ovary,HsapDv:0000141,47-year-old stage (human),female,Black or African American,Homo sapiens
GSE30611,ERX011185,ENSG00000023330,ALAS1,36.361474,TPM,2028.99636,0,5.19E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011186,ENSG00000023330,ALAS1,39.504319,TPM,2870.99982,0,3.34E-12,UBERON:0000955,brain,HsapDv:0000171,77-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011187,ENSG00000023330,ALAS1,35.265438,TPM,1984.9959,0,7.04E-11,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011188,ENSG00000023330,ALAS1,15.325751,TPM,1637.9991,0,5.93E-09,UBERON:0000029,lymph node,HsapDv:0000212,86-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011189,ENSG00000023330,ALAS1,83.52793,TPM,5725.9989,0,<= 5.64e-18,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011190,ENSG00000023330,ALAS1,72.803265,TPM,5214.0005,0,<= 2.29e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011191,ENSG00000023330,ALAS1,28.681156,TPM,2969.996,0,2.68E-12,UBERON:0005200,thoracic mammary gland,HsapDv:0000123,29-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011192,ENSG00000023330,ALAS1,15.403379,TPM,1799.99786,0,3.38E-12,UBERON:0001155,colon,HsapDv:0000162,68-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011193,ENSG00000023330,ALAS1,11.345745,TPM,1604.004,0,3.96E-08,UBERON:0000029,lymph node,HsapDv:0000212,86-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011194,ENSG00000023330,ALAS1,24.067761,TPM,2713.0027,0,1.75E-10,UBERON:0002046,thyroid gland,HsapDv:0000154,60-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011195,ENSG00000023330,ALAS1,23.830321,TPM,2933.9958,0,2.20E-09,CL:0000738,leukocyte,HsapDv:0000152,58-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011196,ENSG00000023330,ALAS1,26.238525,TPM,2704.996615,0,1.24E-11,UBERON:0000992,ovary,HsapDv:0000141,47-year-old stage (human),female,Black or African American,Homo sapiens
GSE30611,ERX011197,ENSG00000023330,ALAS1,44.259681,TPM,6765.0041,0,<= 4.08e-16,UBERON:0000948,heart,HsapDv:0000171,77-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011198,ENSG00000023330,ALAS1,24.966594,TPM,2096.003,0,3.46E-10,UBERON:0002369,adrenal gland,HsapDv:0000154,60-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011199,ENSG00000023330,ALAS1,75.063702,TPM,5361.0069,0,<= 1.05e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011200,ENSG00000023330,ALAS1,35.511471,TPM,3226.9961,0,2.81E-11,UBERON:0000955,brain,HsapDv:0000171,77-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011201,ENSG00000023330,ALAS1,49.620688,TPM,3831.00381,0,<= 3.94e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
GSE30611,ERX011202,ENSG00000023330,ALAS1,28.422058,TPM,3050.0025,0,2.45E-11,UBERON:0000473,testis,HsapDv:0000113,19-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011203,ENSG00000023330,ALAS1,24.482314,TPM,3030.00242,0,2.16E-10,UBERON:0000473,testis,HsapDv:0000113,19-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011204,ENSG00000023330,ALAS1,13.104142,TPM,1788.99536,0,1.78E-10,UBERON:0001155,colon,HsapDv:0000162,68-year-old stage (human),female,White,Homo sapiens
GSE30611,ERX011205,ENSG00000023330,ALAS1,23.181659,TPM,2804.004,0,1.15E-10,UBERON:0002367,prostate gland,HsapDv:0000167,73-year-old stage (human),male,White,Homo sapiens
GSE30611,ERX011206,ENSG00000023330,ALAS1,51.538822,TPM,3908.99723,0,<= 3.10e-17,UBERON:0000468,multicellular organism,UBERON:0000104,life cycle,NA,NA,Homo sapiens
