Gene name,Expression level,Read count,Strain,Time_min,Expression_combined,Strain_Encoded,Cluster
ALAS1,0.0367243219127106,0.1866572182214982,White,0,0.1116907700671044,1,1
ALAS1,0.0594759948367412,0.3081437108559868,White,1,0.183809852846364,1,1
ALAS1,0.02783245785935,0.138351126506575,Black or African American,2,0.0830917921829625,0,2
ALAS1,0.04337456915379,0.1004922592339804,confidential_restricted_data,3,0.0719334141938852,2,0
ALAS1,0.047138435349453,0.1423808644086098,White,4,0.0947596498790314,1,1
ALAS1,0.0420619581756381,0.098303292104983,confidential_restricted_data,5,0.07018262514031054,2,0
ALAS1,0.0181822205966606,0.0810406410084426,White,6,0.0496114308025516,1,1
ALAS1,0.0998610421766809,0.2844134508733377,confidential_restricted_data,7,0.1921372465250093,2,0
ALAS1,0.087017200353966,0.2589421792616487,confidential_restricted_data,8,0.17297968980780734,2,0
ALAS1,0.0341766324778985,0.147305798918756,White,9,0.09074121569832724,1,1
ALAS1,0.0182751877665455,0.0890998740386959,White,10,0.0536875309026207,1,1
ALAS1,0.0134157717129467,0.0793494278609669,White,11,0.046382599786956795,1,1
ALAS1,0.0286516379306838,0.1345207078976038,White,12,0.0815861729141438,1,1
ALAS1,0.028367280162643,0.1455148345870801,White,13,0.08694105737486155,1,1
ALAS1,0.0312513414599264,0.1341224153139136,Black or African American,14,0.08268687838692,0,2
ALAS1,0.0528334493510791,0.3361026429785422,White,15,0.19446804616481064,1,1
ALAS1,0.0297280789082842,0.1038257546652682,White,16,0.06677691678677619,1,1
ALAS1,0.0897242961260215,0.2662555613797502,confidential_restricted_data,17,0.17798992875288586,2,0
ALAS1,0.0423566069068729,0.1600912282312915,White,18,0.1012239175690822,1,1
ALAS1,0.0592537828457353,0.1901398464241692,confidential_restricted_data,19,0.12469681463495225,2,0
ALAS1,0.0338663371233506,0.151286020912029,White,20,0.0925761790176898,1,1
ALAS1,0.0291481059470864,0.150291042275503,White,21,0.08971957411129469,1,1
ALAS1,0.0155216251759254,0.0885525136057187,White,22,0.05203706939082205,1,1
ALAS1,0.0275904435785254,0.1390479072586112,White,23,0.08331917541856829,1,1
ALAS1,0.0615509370869887,0.1940199202383541,confidential_restricted_data,24,0.1277854286626714,2,0
ALAS1,0.0420437115661626,0.1009402784123159,confidential_restricted_data,25,0.07149199498923925,2,0
ALAS1,0.0292178385100906,0.1459627827242251,White,26,0.08759031061715786,1,1
ALAS1,0.0450234382225635,0.1050693142875947,confidential_restricted_data,27,0.0750463762550791,2,0
ALAS1,0.0883997642532307,0.2697378532809873,confidential_restricted_data,28,0.179068808767109,2,0
ALAS1,0.2109476856868081,0.9478110669488844,White,29,0.5793793763178463,1,1
ALAS1,0.0286504115899052,0.1596435243106759,White,30,0.09414696795029055,1,1
ALAS1,0.0322901299433084,0.130490816769472,White,31,0.0813904733563902,1,1
ALAS1,0.0325960887939896,0.143972982060184,White,32,0.0882845354270868,1,1
ALAS1,0.0308617698805923,0.1405399215049568,White,33,0.08570084569277456,1,1
ALAS1,0.0585753098099679,0.2013333705122196,confidential_restricted_data,34,0.12995434016109375,2,0
ALAS1,0.0213348696860348,0.1065616777700448,White,35,0.0639482737280398,1,1
ALAS1,0.0460678338617321,0.1039746327231394,confidential_restricted_data,36,0.07502123329243575,2,0
ALAS1,0.0489295024638216,0.1891447866972087,White,37,0.11903714458051515,1,1
ALAS1,0.0272430430322356,0.141236403764596,White,38,0.0842397233984158,1,1
ALAS1,0.042956151021395,0.1016368203704345,confidential_restricted_data,39,0.07229648569591475,2,0
ALAS1,0.046463976663578,0.2190437741338876,White,40,0.1327538753987328,1,1
ALAS1,0.0912139959820381,0.2754590023304545,confidential_restricted_data,41,0.1833364991562463,2,0
ALAS1,0.0513717134180905,0.192577215443529,confidential_restricted_data,42,0.12197446443080974,2,0
ALAS1,0.0305188914659237,0.1493457954572392,White,43,0.08993234346158145,1,1
ALAS1,0.0574942664616525,0.193871036210635,confidential_restricted_data,44,0.12568265133614376,2,0
ALAS1,0.0447685868843112,0.207700646153954,White,45,0.1262346165191326,1,1
ALAS1,0.036538715714907,0.1595442856876701,White,46,0.09804150070128854,1,1
ALAS1,0.1884047972803363,1.0,White,47,0.5942023986401681,1,1
ALAS1,0.0367824090287117,0.0292025161217609,confidential_restricted_data,48,0.0329924625752363,2,0
ALAS1,0.0362146671401427,0.0172628112874601,confidential_restricted_data,49,0.0267387392138014,2,0
ALAS1,0.047937873010889,0.0307446870405471,confidential_restricted_data,50,0.039341280025718045,2,0
ALAS1,0.0746180867032607,0.759016275521815,confidential_restricted_data,51,0.41681718111253785,2,0
ALAS1,0.0610089974563057,0.3791351575812255,confidential_restricted_data,52,0.22007207751876562,2,0
ALAS1,0.0368747582378136,0.039401007048674,confidential_restricted_data,53,0.0381378826432438,2,0
ALAS1,0.0214953814066168,0.0138301631492281,confidential_restricted_data,54,0.01766277227792245,2,0
ALAS1,0.0268153758472691,0.0063180940444573,confidential_restricted_data,55,0.0165667349458632,2,0
ALAS1,0.0303034027924287,0.0217401997297201,confidential_restricted_data,56,0.0260218012610744,2,0
ALAS1,0.0335369472596483,0.0280085564835545,confidential_restricted_data,57,0.0307727518716014,2,0
ALAS1,0.0345597561873574,0.0178597911065633,confidential_restricted_data,58,0.02620977364696035,2,0
ALAS1,0.0216950090866821,0.0091537668409721,confidential_restricted_data,59,0.0154243879638271,2,0
ALAS1,0.0341285524942667,0.017163317801696,confidential_restricted_data,60,0.02564593514798135,2,0
ALAS1,0.6580507839788216,0.232873545263101,confidential_restricted_data,61,0.4454621646209613,2,0
ALAS1,0.0466238608425897,0.0268145769458551,confidential_restricted_data,62,0.0367192188942224,2,0
ALAS1,0.0220650370574554,0.0171632929273296,confidential_restricted_data,63,0.019614164992392498,2,0
ALAS1,0.0656312051915259,0.0624844278382068,confidential_restricted_data,64,0.06405781651486635,2,0
ALAS1,0.0239934327822571,0.017511548981769,confidential_restricted_data,65,0.02075249088201305,2,0
ALAS1,0.0391077463535032,0.0361175551612084,confidential_restricted_data,66,0.0376126507573558,2,0
ALAS1,0.0614248203929319,0.0369633134685813,confidential_restricted_data,67,0.049194066930756605,2,0
ALAS1,0.0139659771679011,0.0128849267781981,confidential_restricted_data,68,0.0134254519730496,2,0
ALAS1,0.0429918131070449,0.0189044985764275,confidential_restricted_data,69,0.0309481558417362,2,0
ALAS1,0.0233533068477896,0.0329834347415649,confidential_restricted_data,70,0.02816837079467725,2,0
ALAS1,0.0659042312833487,0.0283568025882474,confidential_restricted_data,71,0.04713051693579805,2,0
ALAS1,0.0233199130135407,0.025421582577337,confidential_restricted_data,72,0.024370747795438852,2,0
ALAS1,0.0132032914066742,0.0125864493058298,confidential_restricted_data,73,0.012894870356252,2,0
ALAS1,0.0453705860755874,0.0441271066194196,confidential_restricted_data,74,0.0447488463475035,2,0
ALAS1,0.01318525557452,0.0236306729692672,confidential_restricted_data,75,0.0184079642718936,2,0
ALAS1,0.0823822860995455,0.0614396601723758,confidential_restricted_data,76,0.07191097313596065,2,0
ALAS1,0.0238665244756469,0.0148748462422132,confidential_restricted_data,77,0.01937068535893005,2,0
ALAS1,0.458567522306504,0.2588428509416776,confidential_restricted_data,78,0.3587051866240908,2,0
ALAS1,0.0333428165563152,0.0144768663293089,confidential_restricted_data,79,0.02390984144281205,2,0
ALAS1,0.0201159001256764,0.0126859268719994,confidential_restricted_data,80,0.016400913498837898,2,0
ALAS1,0.0533276527088758,0.0208944782364094,confidential_restricted_data,81,0.037111065472642604,2,0
ALAS1,0.0398713135471647,0.0275110393060011,confidential_restricted_data,82,0.0336911764265829,2,0
ALAS1,0.0384503486546713,0.0371125646419487,confidential_restricted_data,83,0.03778145664831,2,0
ALAS1,0.0204593893155375,0.0219889548360855,confidential_restricted_data,84,0.021224172075811502,2,0
ALAS1,0.0242063957206915,0.0092035304984233,confidential_restricted_data,85,0.0167049631095574,2,0
ALAS1,0.0320937513477473,0.0106462139012933,confidential_restricted_data,86,0.0213699826245203,2,0
ALAS1,0.0411844634446041,0.0249738738310944,confidential_restricted_data,87,0.03307916863784925,2,0
ALAS1,0.0217370208391369,0.0051241229640424,confidential_restricted_data,88,0.01343057190158965,2,0
ALAS1,0.4621846156306205,0.6388729698195084,confidential_restricted_data,89,0.5505287927250644,2,0
ALAS1,0.0371136252299993,0.029550741331986,confidential_restricted_data,90,0.03333218328099265,2,0
ALAS1,0.0213635761200811,0.0109447132631042,confidential_restricted_data,91,0.01615414469159265,2,0
ALAS1,0.0342544500278132,0.057808049936982,confidential_restricted_data,92,0.046031249982397604,2,0
ALAS1,0.0287221261782889,0.0275607877900889,confidential_restricted_data,93,0.0281414569841889,2,0
ALAS1,0.0407318514822179,0.0124371891776905,confidential_restricted_data,94,0.0265845203299542,2,0
ALAS1,0.0402677653294022,0.0200487433109408,confidential_restricted_data,95,0.0301582543201715,2,0
ALAS1,0.0395659511004949,0.0409432285121728,confidential_restricted_data,96,0.040254589806333854,2,0
ALAS1,0.169186353456102,0.1144716889786831,confidential_restricted_data,97,0.14182902121739255,2,0
ALAS1,0.0484191315274005,0.0316899126658507,confidential_restricted_data,98,0.040054522096625605,2,0
ALAS1,0.0195957867261362,0.0107457402212211,confidential_restricted_data,99,0.01517076347367865,2,0
ALAS1,0.039317169191018,0.0268145868956017,confidential_restricted_data,100,0.03306587804330985,2,0
ALAS1,0.0366073129546122,0.0311924753847622,confidential_restricted_data,101,0.033899894169687195,2,0
ALAS1,0.0205859060074655,0.0128351850101894,confidential_restricted_data,102,0.016710545508827453,2,0
ALAS1,0.0392271361372539,0.023829639543815,confidential_restricted_data,103,0.03152838784053445,2,0
ALAS1,0.0329222439443687,0.0172627953678656,confidential_restricted_data,104,0.025092519656117147,2,0
ALAS1,0.0454138050072461,0.0257698373383094,confidential_restricted_data,105,0.03559182117277775,2,0
ALAS1,0.0805645233188722,0.0832793250310823,confidential_restricted_data,106,0.08192192417497726,2,0
ALAS1,0.0438793353296213,0.0510919311062633,confidential_restricted_data,107,0.0474856332179423,2,0
ALAS1,0.0697597281290637,0.0298989685321604,confidential_restricted_data,108,0.04982934833061205,2,0
ALAS1,0.4474993333089375,0.2605340342399136,confidential_restricted_data,109,0.3540166837744255,2,0
ALAS1,0.1733270128559938,0.1109895821427321,confidential_restricted_data,110,0.14215829749936296,2,0
ALAS1,0.0797544952946382,0.059897479303843,confidential_restricted_data,111,0.0698259872992406,2,0
ALAS1,0.0527576305929217,0.0299487147775551,confidential_restricted_data,112,0.0413531726852384,2,0
ALAS1,0.972584675249944,0.5007211153447005,confidential_restricted_data,113,0.7366528952973223,2,0
ALAS1,0.0124631719924115,0.0226356535387803,confidential_restricted_data,114,0.0175494127655959,2,0
ALAS1,0.0576693122366184,0.0518879233682459,confidential_restricted_data,115,0.05477861780243215,2,0
ALAS1,0.0705699405834539,0.0640763828114247,confidential_restricted_data,116,0.0673231616974393,2,0
ALAS1,0.0368736983632149,0.0292025210966342,confidential_restricted_data,117,0.03303810972992455,2,0
ALAS1,0.0191092695549773,0.0156708359172617,confidential_restricted_data,118,0.017390052736119502,2,0
ALAS1,0.0471158414577252,0.0326351498328604,confidential_restricted_data,119,0.0398754956452928,2,0
ALAS1,0.0621319531564073,0.0607929475400358,confidential_restricted_data,120,0.06146245034822155,2,0
ALAS1,0.0808442882969853,0.0610914289923028,confidential_restricted_data,121,0.07096785864464406,2,0
ALAS1,0.00344302359186,0.0042286373157931,confidential_restricted_data,122,0.0038358304538265503,2,0
ALAS1,0.023021860707606,0.0283567802013176,confidential_restricted_data,123,0.0256893204544618,2,0
ALAS1,0.0451618901803114,0.0841250783635821,confidential_restricted_data,124,0.06464348427194674,2,0
ALAS1,0.0246015421206548,0.0149743835068623,confidential_restricted_data,125,0.01978796281375855,2,0
ALAS1,0.0336831297151755,0.0169643049608267,confidential_restricted_data,126,0.025323717338001102,2,0
ALAS1,0.9919330537119871,0.587682055052495,confidential_restricted_data,127,0.7898075543822412,2,0
ALAS1,0.0265732070762488,0.0090045057178581,confidential_restricted_data,128,0.01778885639705345,2,0
ALAS1,0.0640056605495143,0.070145713292232,confidential_restricted_data,129,0.06707568692087315,2,0
ALAS1,0.0843834119761882,0.0592009796321474,confidential_restricted_data,130,0.0717921958041678,2,0
ALAS1,0.0840645370265837,0.0825831168869611,confidential_restricted_data,131,0.0833238269567724,2,0
ALAS1,0.0301425904746442,0.018357272465029,confidential_restricted_data,132,0.0242499314698366,2,0
ALAS1,0.0435122965644958,0.0222377003409454,confidential_restricted_data,133,0.0328749984527206,2,0
ALAS1,0.2091851034507787,0.1974528509493886,confidential_restricted_data,134,0.20331897720008366,2,0
ALAS1,0.0420432301315991,0.0241778941057925,confidential_restricted_data,135,0.0331105621186958,2,0
ALAS1,0.0515459088981806,0.0267648073185559,confidential_restricted_data,136,0.039155358108368246,2,0
ALAS1,0.0721507309726365,0.066265327056005,confidential_restricted_data,137,0.06920802901432074,2,0
ALAS1,0.0653364283172605,0.1037261328277734,confidential_restricted_data,138,0.08453128057251695,2,0
ALAS1,0.0403885982192449,0.0178598140407291,confidential_restricted_data,139,0.029124206129987,2,0
ALAS1,0.0398398167088078,0.0200984607020705,confidential_restricted_data,140,0.02996913870543915,2,0
ALAS1,0.0477874857873211,0.0513903813163261,confidential_restricted_data,141,0.0495889335518236,2,0
ALAS1,0.0360775708638024,0.0212924626266997,confidential_restricted_data,142,0.02868501674525105,2,0
ALAS1,0.0504504692192991,0.0206954803201599,confidential_restricted_data,143,0.035572974769729496,2,0
ALAS1,0.0819684619546767,0.0602954756338293,confidential_restricted_data,144,0.071131968794253,2,0
ALAS1,0.0340794078456425,0.0168648403293276,confidential_restricted_data,145,0.02547212408748505,2,0
ALAS1,0.0370866840560192,0.0320381491192894,confidential_restricted_data,146,0.0345624165876543,2,0
ALAS1,0.0360948641849383,0.011939712595103,confidential_restricted_data,147,0.02401728839002065,2,0
ALAS1,0.0375043453062149,0.0617879412006791,confidential_restricted_data,148,0.049646143253447,2,0
ALAS1,0.0455300978014914,0.0671110336246958,confidential_restricted_data,149,0.0563205657130936,2,0
ALAS1,0.0461718728289786,0.0179095239198001,confidential_restricted_data,150,0.032040698374389345,2,0
ALAS1,0.0414147747937015,0.0251728239885603,confidential_restricted_data,151,0.033293799391130904,2,0
ALAS1,0.0253819343744714,0.035968334334568,confidential_restricted_data,152,0.0306751343545197,2,0
ALAS1,0.0650195785065785,0.0700959645594007,confidential_restricted_data,153,0.0675577715329896,2,0
ALAS1,0.0791033514547378,0.0400974428429968,confidential_restricted_data,154,0.05960039714886731,2,0
ALAS1,0.0389422418451224,0.0744241291900963,confidential_restricted_data,155,0.056683185517609355,2,0
ALAS1,0.1909284748668954,0.2019800284209535,confidential_restricted_data,156,0.19645425164392444,2,0
ALAS1,0.0374270942203512,0.0169642855588209,confidential_restricted_data,157,0.027195689889586046,2,0
ALAS1,0.0457606331014928,0.0617381983381983,confidential_restricted_data,158,0.05374941571984555,2,0
ALAS1,0.0436454778916122,0.0594497357334874,confidential_restricted_data,159,0.0515476068125498,2,0
ALAS1,0.6538665475653445,0.229640368649055,confidential_restricted_data,160,0.44175345810719974,2,0
ALAS1,0.038589981444458,0.0234814143335899,confidential_restricted_data,161,0.031035697889023953,2,0
ALAS1,0.0272015498398952,0.0189542522841322,confidential_restricted_data,162,0.0230779010620137,2,0
ALAS1,0.9350206572074244,0.4941044667173391,confidential_restricted_data,163,0.7145625619623818,2,0
ALAS1,0.042043367855417,0.0129346786949484,confidential_restricted_data,164,0.0274890232751827,2,0
ALAS1,0.0810184143163673,0.083229605152516,confidential_restricted_data,165,0.08212400973444164,2,0
ALAS1,0.0211950979748318,0.0252226282409775,confidential_restricted_data,166,0.02320886310790465,2,0
ALAS1,0.0867194821779894,0.0593502293130528,confidential_restricted_data,167,0.0730348557455211,2,0
ALAS1,0.2249497572733876,0.1987464160080079,confidential_restricted_data,168,0.21184808664069776,2,0
ALAS1,0.0270091173311168,0.018606036028679,confidential_restricted_data,169,0.022807576679897898,2,0
ALAS1,0.0517889004193132,0.0295507313822394,confidential_restricted_data,170,0.0406698159007763,2,0
ALAS1,0.0307196616548785,0.0170638168536219,confidential_restricted_data,171,0.0238917392542502,2,0
ALAS1,0.003083267422706,0.0037809036951841,confidential_restricted_data,172,0.00343208555894505,2,0
ALAS1,0.0296865545783849,0.0190040179315327,confidential_restricted_data,173,0.024345286254958798,2,0
ALAS1,0.0335912930781958,0.01114373605372,confidential_restricted_data,174,0.0223675145659579,2,0
ALAS1,0.0428005590351085,0.0181582725588303,confidential_restricted_data,175,0.030479415796969403,2,0
ALAS1,0.0758438394610508,0.012039184887907,confidential_restricted_data,176,0.043941512174478906,2,0
ALAS1,0.1014039860607017,0.1363113588122629,confidential_restricted_data,177,0.11885767243648229,2,0
ALAS1,0.029251461085637,0.0175613026894737,confidential_restricted_data,178,0.023406381887555353,2,0
ALAS1,0.0197456386232119,0.0208944677891755,confidential_restricted_data,179,0.0203200532061937,2,0
ALAS1,0.1938082463666504,0.1951641495507602,confidential_restricted_data,180,0.1944861979587053,2,0
ALAS1,0.0706393258429173,0.0375602733881914,confidential_restricted_data,181,0.05409979961555435,2,0
ALAS1,0.0343538986003288,0.0324361787809267,confidential_restricted_data,182,0.03339503869062775,2,0
ALAS1,0.0371534154373913,0.0280582952666394,confidential_restricted_data,183,0.03260585535201535,2,0
ALAS1,0.0032562856635527,0.0032834163668704,confidential_restricted_data,184,0.0032698510152115497,2,0
ALAS1,0.0389812703799214,0.0529326567074512,confidential_restricted_data,185,0.0459569635436863,2,0
ALAS1,0.0203949764846999,0.0239291290496805,confidential_restricted_data,186,0.022162052767190202,2,0
ALAS1,0.0364399114503395,0.0547235911898874,confidential_restricted_data,187,0.04558175132011345,2,0
ALAS1,0.0334893223634148,0.0701456968751502,confidential_restricted_data,188,0.0518175096192825,2,0
ALAS1,0.0817057399996304,0.0817868844380964,confidential_restricted_data,189,0.0817463122188634,2,0
ALAS1,0.0357417259446346,0.05283314033727,confidential_restricted_data,190,0.0442874331409523,2,0
ALAS1,0.0507803189607934,0.0418884429937603,confidential_restricted_data,191,0.04633438097727685,2,0
ALAS1,0.0562889698824165,0.0449728818413617,confidential_restricted_data,192,0.0506309258618891,2,0
ALAS1,0.0253476207846386,0.0168151000537808,confidential_restricted_data,193,0.0210813604192097,2,0
ALAS1,0.0319633101258081,0.0396497350917288,confidential_restricted_data,194,0.035806522608768446,2,0
ALAS1,0.0515236419508205,0.0592009965467165,confidential_restricted_data,195,0.0553623192487685,2,0
ALAS1,0.0200339724179958,0.0128351765529048,confidential_restricted_data,196,0.0164345744854503,2,0
ALAS1,0.0686960894785369,0.0279090669776891,confidential_restricted_data,197,0.048302578228113,2,0
ALAS1,0.03018802017298,0.0131834191751864,confidential_restricted_data,198,0.0216857196740832,2,0
ALAS1,0.0303549594042639,0.0096014959841952,confidential_restricted_data,199,0.01997822769422955,2,0
ALAS1,0.0689610245954571,0.0287547765313039,confidential_restricted_data,200,0.0488579005633805,2,0
ALAS1,0.0392015925606259,0.0351225887131219,confidential_restricted_data,201,0.037162090636873896,2,0
ALAS1,0.0240547869467386,0.0307944307985052,confidential_restricted_data,202,0.0274246088726219,2,0
ALAS1,0.0327543586103357,0.0232326537548639,confidential_restricted_data,203,0.0279935061825998,2,0
ALAS1,0.0232070537339559,0.0190040204189694,confidential_restricted_data,204,0.02110553707646265,2,0
ALAS1,0.0267075273194593,0.0179592890697133,confidential_restricted_data,205,0.0223334081945863,2,0
ALAS1,0.0610568379202542,0.0363663286746049,confidential_restricted_data,206,0.048711583297429556,2,0
ALAS1,0.0454540838347921,0.0175612977146004,confidential_restricted_data,207,0.03150769077469625,2,0
