Strain_Encoded,Expression level,Read count,Expression_Level_Actual,Expression_Level_Predicted
2,0.19151148639982593,0.35389014777717515,High,High
2,0.05983002672070176,0.07652549695986488,Low,Low
2,0.2828548089559299,0.09719087558458972,Medium,Medium
2,0.04790913073931677,0.08346791085542576,Low,Low
2,0.05987616189038075,0.1591863236965467,Low,Low
2,0.0019322239327310305,0.004681949367397483,Low,Low
2,0.10800631690021117,0.16047784427293935,Medium,Medium
2,0.2706031712815802,0.11155956540660651,Medium,Medium
2,0.17579759873656955,0.06506296446955794,Medium,Low
2,0.17466061044619763,0.41185042715199993,High,High
2,0.19748263948570371,0.5200189983818537,High,High
2,0.19807506128320615,0.14320300906625585,Medium,Medium
2,0.16020667196639002,0.15062957688803796,Medium,Medium
2,0.1452178081148469,0.28269289001752207,High,High
2,0.1435412255150095,0.1575716904930531,Medium,Medium
2,0.23896153978491996,0.2001936470403007,High,High
1,0.1347337006011418,0.45608563976384114,High,High
2,0.017069693850432957,0.46722651587474673,High,Medium
2,0.1490397911289795,0.08217639673689425,Low,Low
2,0.08651907075716557,0.2410395819748951,Medium,Medium
2,0.13857466261186754,0.07135941949769048,Low,Low
2,0.1315939680733436,0.059573737247580576,Low,Low
2,0.0939156876532521,0.0970292288609823,Low,Low
2,0.38400010356362657,0.10461741596046167,High,High
2,0.12537763040200567,0.028575977673365588,Low,Low
2,0.18355087437413672,0.3275753320809818,High,High
2,0.1373863682902102,0.16209229988525006,Medium,Medium
2,0.04071007840087539,0.06619302721478314,Low,Low
2,0.06223745754057272,0.17081051259725294,Low,Low
2,0.10419445078922082,0.04827243171990314,Low,Low
2,0.07412622516546657,0.15821755087809797,Low,Low
2,0.08342563025025745,0.05085560848777336,Low,Low
2,0.36221578122597936,0.6908286682282204,High,High
2,0.16220123379894916,0.09105587515869389,Medium,Medium
2,0.1804816464659124,0.6745221683198899,High,High
2,0.039756658311708035,0.05311590834047621,Low,Low
2,0.09551103701064828,0.2807556107673984,Medium,Medium
2,0.1707332861584142,0.11721009999158544,Medium,Medium
2,0.08903866065001409,0.0776557437541341,Low,Low
2,0.17739411402130462,0.09444640243208219,Medium,Medium
2,0.10183410670304525,0.1817888168959346,Medium,Medium
2,0.2242742746712434,0.6249590975216475,High,High
2,0.10315214311849018,0.12108495232451663,Low,Low
2,0.10809076036411465,0.1294802283861359,Low,Low
2,0.1868550549404566,0.05892793498328675,Medium,Medium
2,0.0690569142620377,0.10122695488015077,Low,Low
2,0.1937275796551492,0.17565388912097699,Medium,Medium
2,0.19877144406369715,0.21779134624642923,Medium,Medium
2,0.12469956784301901,0.20681304679114354,Medium,Medium
2,0.2638309738301439,0.2066515582851355,High,High
2,0.09434554362677106,0.20035514361863543,Medium,Medium
2,0.00023115685877696742,0.02793021092730794,Low,Low
2,0.155693126732333,0.08637393870701839,Medium,Low
2,0.08345563588701968,0.291895326077754,Medium,Medium
2,0.15157966188347657,0.01485309043853581,Low,Low
2,0.15592090606168876,0.2567000164610882,Medium,Medium
2,0.11081029895302381,0.11672584273958479,Low,Low
2,0.12771920462653732,0.07523401835957019,Low,Low
2,0.3435831905338117,0.4476912920197692,High,High
2,0.0893198687303842,0.07135941465429485,Low,Low
2,0.0007378437840672291,0.0,Low,Low
2,0.15353610887163868,0.13513074553488946,Medium,Medium
2,0.06186544306548561,0.08233772541083767,Low,Low
2,0.24574161639554806,0.14594775183446826,Medium,Medium
2,0.0023115163040321233,0.003874716717846013,Low,Low
2,0.17432247060442294,0.17500811914598893,Medium,Medium
2,0.1019538887449021,0.1070391300537688,Low,Low
